#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
484,8.18E-05,284,GO:0045664,regulation of neuron differentiation,5.76E-04,BP
594,8.23E-05,186,GO:0051648,vesicle localization,5.78E-04,BP
634,8.34E-05,162,GO:0046578,regulation of Ras protein signal transduction,5.84E-04,BP
676,8.48E-05,142,GO:0050708,regulation of protein secretion,5.92E-04,BP
-1140,8.83E-05,49,GO:0030261,chromosome condensation,6.14E-04,BP
1066,8.93E-05,56,GO:0051436,obsolete negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,6.19E-04,BP
-1084,9.09E-05,54,GO:0006767,water-soluble vitamin metabolic process,6.29E-04,BP
788,9.14E-05,103,GO:0043901,negative regulation of multi-organism process,6.30E-04,BP
523,9.18E-05,238,GO:0043434,response to peptide hormone,6.31E-04,BP
-1402,9.55E-05,32,GO:0071174,mitotic spindle checkpoint,6.54E-04,BP
429,9.75E-05,358,GO:0007411,axon guidance,6.66E-04,BP
596,9.86E-05,180,GO:0030811,regulation of nucleotide catabolic process,6.71E-04,BP
807,9.93E-05,97,GO:0032874;GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,6.74E-04,BP
665,9.95E-05,144,GO:0016050,vesicle organization,6.74E-04,BP
1067,1.02E-04,55,GO:0036294;GO:0071456,cellular response to hypoxia,6.85E-04,BP
1118,1.02E-04,50,GO:0035872,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",6.88E-04,BP
439,1.03E-04,339,GO:0043086,negative regulation of catalytic activity,6.88E-04,BP
1280,1.05E-04,38,GO:0038061,NIK/NF-kappaB signaling,7.00E-04,BP
462,1.07E-04,302,GO:0070201,regulation of establishment of protein localization,7.14E-04,BP
815,1.09E-04,94,GO:0046330,positive regulation of JNK cascade,7.25E-04,BP
818,1.12E-04,93,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,7.41E-04,BP
657,1.13E-04,145,GO:0002791,regulation of peptide secretion,7.49E-04,BP
1040,1.16E-04,57,GO:0032069,regulation of nuclease activity,7.62E-04,BP
421,1.21E-04,362,GO:0097485,neuron projection guidance,7.93E-04,BP
-1207,1.21E-04,42,GO:0072088,nephron epithelium morphogenesis,7.93E-04,BP
917,1.21E-04,73,GO:0007391,dorsal closure,7.93E-04,BP
-1301,1.23E-04,36,GO:0006027,glycosaminoglycan catabolic process,8.03E-04,BP
630,1.27E-04,156,GO:0033124,obsolete regulation of GTP catabolic process,8.22E-04,BP
1356,1.27E-04,33,GO:0071347,cellular response to interleukin-1,8.22E-04,BP
435,1.29E-04,334,GO:0001775,cell activation,8.31E-04,BP
353,1.30E-04,523,GO:0006468,protein phosphorylation,8.35E-04,BP
-1231,1.30E-04,40,GO:0051784,negative regulation of nuclear division,8.35E-04,BP
1351,1.35E-04,33,GO:0071326;GO:0071331;GO:0071333,cellular response to monosaccharide stimulus,8.64E-04,BP
448,1.35E-04,313,GO:0043604,amide biosynthetic process,8.64E-04,BP
704,1.37E-04,123,GO:0030522,intracellular receptor signaling pathway,8.69E-04,BP
1057,1.37E-04,54,GO:0002768,immune response-regulating cell surface receptor signaling pathway,8.72E-04,BP
963,1.38E-04,65,GO:0031345,negative regulation of cell projection organization,8.76E-04,BP
441,1.39E-04,322,GO:0051345,positive regulation of hydrolase activity,8.77E-04,BP
873,1.43E-04,79,GO:0009749,response to glucose,9.02E-04,BP
-1288,1.45E-04,36,GO:0060675;GO:0072171,ureteric bud morphogenesis,9.09E-04,BP
-792,1.45E-04,96,GO:0045132,meiotic chromosome segregation,9.09E-04,BP
471,1.50E-04,278,GO:0051223,regulation of protein transport,9.35E-04,BP
487,1.50E-04,259,GO:0031400,negative regulation of protein modification process,9.35E-04,BP
328,1.57E-04,597,GO:0009057,macromolecule catabolic process,9.73E-04,BP
872,1.60E-04,78,GO:0042770,signal transduction in response to DNA damage,9.91E-04,BP
-1145,1.61E-04,45,GO:0030071;GO:1902099,regulation of mitotic metaphase/anaphase transition,9.94E-04,BP
536,1.64E-04,210,GO:0045926,negative regulation of growth,0.001011446,BP
389,1.67E-04,410,GO:1901701,cellular response to oxygen-containing compound,0.001023136,BP
502,1.71E-04,239,GO:0007163,establishment or maintenance of cell polarity,0.001048585,BP
1393,1.74E-04,30,GO:0006891,intra-Golgi vesicle-mediated transport,0.001059869,BP
1081,1.74E-04,50,GO:0070555,response to interleukin-1,0.001060047,BP
1003,1.76E-04,58,GO:0051352;GO:0051444,negative regulation of ubiquitin-protein transferase activity,0.001067525,BP
741,1.78E-04,107,GO:0032956,regulation of actin cytoskeleton organization,0.001076711,BP
-644,1.79E-04,142,GO:0090305,nucleic acid phosphodiester bond hydrolysis,0.001081592,BP
1365,1.84E-04,31,GO:0034146;GO:0035681,toll-like receptor 15 signaling pathway,0.00110944,BP
1264,1.93E-04,36,GO:0007250;GO:1901224;GO:1901222,activation of NF-kappaB-inducing kinase activity,0.001157109,BP
422,2.05E-04,334,GO:0043900,regulation of multi-organism process,0.001222231,BP
1276,2.05E-04,35,GO:0045670,regulation of osteoclast differentiation,0.001222231,BP
1293,2.09E-04,34,GO:0045727,positive regulation of translation,0.001244575,BP
445,2.13E-04,297,GO:0090066,regulation of anatomical structure size,0.001266555,BP
814,2.15E-04,86,GO:0034284,response to monosaccharide,0.001276726,BP
-1174,2.21E-04,41,GO:0072078,nephron tubule morphogenesis,0.001303228,BP
580,2.21E-04,171,GO:0009118;GO:0033121,regulation of purine nucleotide catabolic process,0.001303228,BP
701,2.22E-04,116,GO:0032970,regulation of actin filament-based process,0.001303228,BP
454,2.34E-04,282,GO:0090087,regulation of peptide transport,0.001369452,BP
1245,2.38E-04,36,GO:0001678,cellular glucose homeostasis,0.001390425,BP
1154,2.38E-04,42,GO:0070423,nucleotide-binding oligomerization domain containing signaling pathway,0.001390425,BP
429,2.45E-04,315,GO:0030036,actin cytoskeleton organization,0.001425977,BP
1278,2.47E-04,34,GO:0071322,cellular response to carbohydrate stimulus,0.001436175,BP
-615,2.49E-04,149,GO:0046395;GO:0016054,carboxylic acid catabolic process,0.001438983,BP
1044,2.50E-04,51,GO:0002429,immune response-activating cell surface receptor signaling pathway,0.001441263,BP
1076,2.50E-04,48,GO:0002709,regulation of T cell mediated immunity,0.001441652,BP
939,2.53E-04,63,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,0.001452948,BP
623,2.65E-04,144,GO:1902532,negative regulation of intracellular signal transduction,0.001519733,BP
-1001,2.68E-04,55,GO:0051053,negative regulation of DNA metabolic process,0.001530775,BP
481,2.69E-04,245,GO:0071900,regulation of protein serine/threonine kinase activity,0.001530896,BP
453,2.72E-04,277,GO:0001667,ameboidal-type cell migration,0.001549064,BP
323,2.79E-04,568,GO:0051241,negative regulation of multicellular organismal process,0.001582908,BP
620,2.83E-04,144,GO:0032869,cellular response to insulin stimulus,0.001599951,BP
-1167,2.85E-04,40,GO:0006026,aminoglycan catabolic process,0.001605694,BP
-994,2.93E-04,55,GO:0065004,protein-DNA complex assembly,0.001651457,BP
-1052,2.97E-04,49,GO:0007478,leg disc morphogenesis,0.001667288,BP
796,2.98E-04,86,GO:0030308,negative regulation of cell growth,0.001669347,BP
753,3.03E-04,96,GO:0007265,Ras protein signal transduction,0.001690361,BP
-1259,3.07E-04,34,GO:0042558,pteridine-containing compound metabolic process,0.001704457,BP
-452,3.07E-04,273,GO:0010948,negative regulation of cell cycle process,0.001704457,BP
1191,3.07E-04,38,GO:0030952,establishment or maintenance of cytoskeleton polarity,0.001704457,BP
-1185,3.28E-04,38,GO:0001504,neurotransmitter uptake,0.001815144,BP
673,3.29E-04,119,GO:0034330,cell junction organization,0.001817499,BP
-1310,3.34E-04,31,GO:2000826,regulation of heart morphogenesis,0.001836243,BP
-1152,3.40E-04,40,GO:0050885,neuromuscular process controlling balance,0.001864261,BP
855,3.40E-04,73,GO:0051443,positive regulation of ubiquitin-protein transferase activity,0.001864261,BP
883,3.53E-04,68,GO:0010506,regulation of autophagy,0.001931253,BP
1121,3.55E-04,42,GO:0050852,T cell receptor signaling pathway,0.001935992,BP
-1120,3.58E-04,42,GO:0070192,chromosome organization involved in meiotic cell cycle,0.001946542,BP
404,3.64E-04,336,GO:0010942,positive regulation of cell death,0.001976282,BP
806,3.75E-04,81,GO:0031397,negative regulation of protein ubiquitination,0.002029181,BP
-346,3.80E-04,464,GO:0010564,regulation of cell cycle process,0.002053262,BP
758,4.01E-04,91,GO:0009743,response to carbohydrate,0.002159675,BP
333,4.04E-04,501,GO:0007409,axonogenesis,0.002167878,BP
417,4.14E-04,309,GO:0006518,peptide metabolic process,0.002216179,BP
386,4.15E-04,363,GO:0032880,regulation of protein localization,0.002217703,BP
842,4.16E-04,73,GO:0002703,regulation of leukocyte mediated immunity,0.002217703,BP
-1133,4.26E-04,40,GO:0072527,pyrimidine-containing compound metabolic process,0.002266091,BP
650,4.27E-04,123,GO:0042594,response to starvation,0.002267142,BP
-846,4.31E-04,72,GO:0071466,cellular response to xenobiotic stimulus,0.002283848,BP
353,4.34E-04,436,GO:0051960,regulation of nervous system development,0.002290327,BP
688,4.41E-04,109,GO:0031669,cellular response to nutrient levels,0.002326928,BP
891,4.69E-04,64,GO:0002274,myeloid leukocyte activation,0.002465107,BP
-306,4.79E-04,585,GO:0017144,drug metabolic process,0.002510566,BP
-672,4.80E-04,113,GO:0015850,organic hydroxy compound transport,0.002511445,BP
567,4.88E-04,159,GO:0008038,neuron recognition,0.002548842,BP
488,4.94E-04,216,GO:0016331,morphogenesis of embryonic epithelium,0.002571246,BP
-798,5.10E-04,79,GO:0071824,protein-DNA complex subunit organization,0.002652902,BP
394,5.13E-04,336,GO:0032940,secretion by cell,0.002661509,BP
292,5.17E-04,640,GO:0016310,phosphorylation,0.002674206,BP
1009,5.21E-04,49,GO:0006987,obsolete activation of signaling protein activity involved in unfolded protein response,0.002690583,BP
390,5.29E-04,341,GO:0050767,regulation of neurogenesis,0.002723339,BP
1158,5.36E-04,37,GO:0002763,positive regulation of myeloid leukocyte differentiation,0.002754656,BP
1099,5.42E-04,41,GO:0002720,positive regulation of cytokine production involved in immune response,0.002775994,BP
872,5.57E-04,65,GO:0007249,I-kappaB kinase/NF-kappaB signaling,0.002847587,BP
767,5.69E-04,84,GO:0007416,synapse assembly,0.002901222,BP
-425,5.93E-04,280,GO:0008610,lipid biosynthetic process,0.003018592,BP
322,6.45E-04,497,GO:0042330,taxis,0.00327646,BP
954,6.47E-04,53,GO:0002761,regulation of myeloid leukocyte differentiation,0.003277907,BP
1110,6.58E-04,39,GO:0042308;GO:1904590,negative regulation of protein import into nucleus,0.003325185,BP
-1205,6.62E-04,33,GO:0001658,branching involved in ureteric bud morphogenesis,0.003340347,BP
284,6.79E-04,648,GO:0034613,cellular protein localization,0.003417492,BP
940,6.89E-04,54,GO:0002821,positive regulation of adaptive immune response,0.003459292,BP
451,6.95E-04,241,GO:0009617,response to bacterium,0.00348124,BP
792,7.10E-04,76,GO:0034250,positive regulation of cellular amide metabolic process,0.003550621,BP
761,7.28E-04,82,GO:0032984,protein-containing complex disassembly,0.003633596,BP
1013,7.39E-04,46,GO:0009620,response to fungus,0.003680734,BP
442,7.47E-04,248,GO:0034097,response to cytokine,0.003711936,BP
682,7.55E-04,102,GO:0045216,cell-cell junction organization,0.003739796,BP
564,7.57E-04,150,GO:0006184,obsolete GTP catabolic process,0.003741698,BP
867,8.05E-04,62,GO:0002706,regulation of lymphocyte mediated immunity,0.003972046,BP
788,8.15E-04,75,GO:0051351,positive regulation of ligase activity,0.004006283,BP
-888,8.17E-04,59,GO:1901607,alpha-amino acid biosynthetic process,0.004006283,BP
336,8.17E-04,434,GO:0071495,cellular response to endogenous stimulus,0.004006283,BP
827,8.20E-04,68,GO:0051439,obsolete regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,0.004012071,BP
-479,8.48E-04,206,GO:0034660,ncRNA metabolic process,0.004132849,BP
863,8.49E-04,62,GO:0031589,cell-substrate adhesion,0.004132849,BP
1000,8.59E-04,46,GO:0050851,antigen receptor-mediated signaling pathway,0.004172577,BP
1034,8.61E-04,43,GO:0045639,positive regulation of myeloid cell differentiation,0.004172577,BP
-1099,8.68E-04,38,GO:0021983,pituitary gland development,0.004198271,BP
929,8.91E-04,53,GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.004299878,BP
-1094,9.12E-04,38,GO:0006283,transcription-coupled nucleotide-excision repair,0.004394647,BP
301,9.45E-04,539,GO:0061564,axon development,0.00454331,BP
-1038,9.50E-04,42,GO:0033559,unsaturated fatty acid metabolic process,0.00455552,BP
630,9.64E-04,115,GO:0031668,cellular response to extracellular stimulus,0.004614994,BP
436,9.83E-04,244,GO:0050890,cognition,0.004697117,BP
-1059,9.97E-04,40,GO:0006304,DNA modification,0.004752648,BP
-855,0.001041364,61,GO:0032392,DNA geometric change,0.004952562,BP
1016,0.001064292,43,GO:0006903,vesicle targeting,0.005050875,BP
940,0.00110054,50,GO:0061387,regulation of extent of cell growth,0.005211858,BP
921,0.001105573,52,GO:0034332,adherens junction organization,0.005224648,BP
730,0.001113673,83,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,0.005251848,BP
-540,0.00112377,153,GO:0010639,negative regulation of organelle organization,0.00528833,BP
-853,0.001182415,60,GO:0007143,female meiotic nuclear division,0.005552641,BP
621,0.001191595,114,GO:0002683,negative regulation of immune system process,0.005568126,BP
-569,0.001192869,136,GO:0032259,methylation,0.005568126,BP
536,0.00119317,154,GO:0006401,RNA catabolic process,0.005568126,BP
1069,0.001197296,38,GO:0032943;GO:0070661;GO:0046651,lymphocyte proliferation,0.005575765,BP
-806,0.001204086,67,GO:1902275,regulation of chromatin organization,0.005595751,BP
-831,0.001214464,63,GO:0051225,spindle assembly,0.005630588,BP
293,0.001216609,543,GO:1901698,response to nitrogen compound,0.005630588,BP
322,0.001231975,443,GO:0006935,chemotaxis,0.005689945,BP
-863,0.001259188,58,GO:0032508,DNA duplex unwinding,0.005803666,BP
634,0.001273549,108,GO:0009896,positive regulation of catabolic process,0.005857804,BP
750,0.00133657,76,GO:0051092,positive regulation of NF-kappaB transcription factor activity,0.006135074,BP
571,0.001360563,132,GO:0071496,cellular response to external stimulus,0.006232434,BP
1151,0.001364857,32,GO:0010160,formation of animal organ boundary,0.006234823,BP
-735,0.001366651,79,GO:0008652,cellular amino acid biosynthetic process,0.006234823,BP
1029,0.001371638,40,GO:1900181,negative regulation of protein localization to nucleus,0.006244858,BP
747,0.001406373,76,GO:0002495;GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,0.006390011,BP
601,0.001472424,117,GO:0042110,T cell activation,0.006676578,BP
-371,0.001494655,315,GO:0006325,chromatin organization,0.006763693,BP
524,0.001516143,154,GO:0098542,defense response to other organism,0.006847097,BP
369,0.001528116,318,GO:0043068,positive regulation of programmed cell death,0.006887282,BP
576,0.001532047,127,GO:0007613,memory,0.006891134,BP
970,0.001573693,44,GO:0032663,regulation of interleukin-2 production,0.007064275,BP
1135,0.001587364,32,GO:0050728,negative regulation of inflammatory response,0.007111389,BP
294,0.00160437,510,GO:0007268;GO:0098916;GO:0099537;GO:0099536,chemical synaptic transmission,0.007173232,BP
815,0.001629927,62,GO:0032387,negative regulation of intracellular transport,0.007272979,BP
-478,0.001640133,183,GO:0051783,regulation of nuclear division,0.007303974,BP
741,0.001650565,75,GO:0045637,regulation of myeloid cell differentiation,0.007335846,BP
933,0.001670049,47,GO:0002708,positive regulation of lymphocyte mediated immunity,0.007407744,BP
942,0.0016883,46,GO:0002718,regulation of cytokine production involved in immune response,0.007473897,BP
737,0.001748103,75,GO:0043506,regulation of JUN kinase activity,0.007723373,BP
370,0.001759878,307,GO:0043065,positive regulation of apoptotic process,0.007760092,BP
400,0.001783822,260,GO:0007369,gastrulation,0.007850221,BP
888,0.001845191,51,GO:0032075,positive regulation of nuclease activity,0.00810437,BP
1119,0.001853787,32,GO:0042098,T cell proliferation,0.008111568,BP
393,0.001854073,268,GO:0030334,regulation of cell migration,0.008111568,BP
-1117,0.001878072,32,GO:0006749,glutathione metabolic process,0.008200548,BP
722,0.001886138,77,GO:0035023,regulation of Rho protein signal transduction,0.008219743,BP
-804,0.00189655,62,GO:1903509,liposaccharide metabolic process,0.008249072,BP
-404,0.001922315,252,GO:1901988,negative regulation of cell cycle phase transition,0.008344932,BP
511,0.001927686,155,GO:1901069,guanosine-containing compound catabolic process,0.008352063,BP
1022,0.001946848,38,GO:0031103,axon regeneration,0.008418801,BP
255,0.002027477,666,GO:0048812;GO:0120039,neuron projection morphogenesis,0.008750576,BP
567,0.002050823,124,GO:0051346,negative regulation of hydrolase activity,0.008831058,BP
956,0.002054009,43,GO:0031102,neuron projection regeneration,0.008831058,BP
515,0.002091033,150,GO:0006417,regulation of translation,0.008973016,BP
724,0.002108317,75,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,0.009029887,BP
738,0.002140956,72,GO:0050727,regulation of inflammatory response,0.009152176,BP
575,0.002172846,119,GO:1903706,regulation of hemopoiesis,0.009270812,BP
436,0.002182716,209,GO:0034248,regulation of cellular amide metabolic process,0.009295218,BP
-454,0.002188889,193,GO:0016569,covalent chromatin modification,0.009298167,BP
-786,0.002191711,63,GO:0006399,tRNA metabolic process,0.009298167,BP
249,0.002214006,691,GO:0070727,cellular macromolecule localization,0.009372497,BP
541,0.0022176,134,GO:0043547,positive regulation of GTPase activity,0.009372497,BP
622,0.002320829,100,GO:0000187,activation of MAPK activity,0.009790313,BP
-903,0.002359065,47,GO:0072337,modified amino acid transport,0.009932907,BP
-253,0.002390547,653,GO:0006629,lipid metabolic process,0.010028661,BP
620,0.002390761,100,GO:0007297,ovarian follicle cell migration,0.010028661,BP
756,0.002405928,67,GO:0031145,anaphase-promoting complex-dependent catabolic process,0.010073419,BP
510,0.002485928,148,GO:0045862,positive regulation of proteolysis,0.010388952,BP
-861,0.0025261,51,GO:1901568,fatty acid derivative metabolic process,0.010536472,BP
470,0.002530635,174,GO:0045785,positive regulation of cell adhesion,0.010536472,BP
-632,0.002545171,95,GO:0009308,amine metabolic process,0.010569966,BP
646,0.002548117,91,GO:1902105,regulation of leukocyte differentiation,0.010569966,BP
1022,0.002570276,36,GO:0050832,defense response to fungus,0.010642179,BP
-628,0.002584715,96,GO:0016042,lipid catabolic process,0.010682218,BP
-784,0.002640608,61,GO:0006664,glycolipid metabolic process,0.010893114,BP
522,0.002686493,139,GO:0000302,response to reactive oxygen species,0.011062029,BP
486,0.002715032,160,GO:0046039,GTP metabolic process,0.01115903,BP
725,0.002747859,71,GO:0048814,regulation of dendrite morphogenesis,0.011273268,BP
263,0.002786451,578,GO:0035637,multicellular organismal signaling,0.011410696,BP
649,0.002859813,88,GO:0031331,positive regulation of cellular catabolic process,0.011689745,BP
652,0.00290496,87,GO:0050773,regulation of dendrite development,0.01185266,BP
-769,0.002975524,62,GO:0035218,leg disc development,0.012118499,BP
619,0.002991026,96,GO:0034329,cell junction assembly,0.012159527,BP
-787,0.003000347,59,GO:0051180,vitamin transport,0.01217532,BP
-281,0.00300865,494,GO:0044255,cellular lipid metabolic process,0.012186936,BP
262,0.003027202,574,GO:0019226,transmission of nerve impulse,0.012239951,BP
